variable;unit;piam_variable;piam_unit;piam_factor;description;source;;;;;;;
Emissions|Kyoto Gases;Mt CO2-equiv/yr;Emi|GHG|w/ Bunkers;Mt CO2eq/yr;;Emissions of Kyoto GHG emissions;;;;;;;;
Emissions|Kyoto Gases|AFOLU;Mt CO2-equiv/yr;Emi|GHG|AFOLU;Mt CO2eq/yr;;Emissions of Kyoto GHG emissions;; rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation; conversion of non-forest natural land; and drained peatlands;R;;;
Emissions|Kyoto Gases|Energy and Industrial Processes;Mt CO2-equiv/yr;Emi|GHG|w/ Bunkers|Energy;Mt CO2eq/yr;1;Emissions of Kyoto GHG emissions;; 2B; 2C; 2E); including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R
Emissions|Kyoto Gases|Energy and Industrial Processes;Mt CO2-equiv/yr;Emi|GHG|+++|Industrial Processes;Mt CO2eq/yr;1;Emissions of Kyoto GHG emissions;; 2B; 2C; 2E); including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R
Emissions|N2O;kt N2O/yr;Emi|N2O;kt N2O/yr;;Emissions of nitrous oxide (N2O) to the atmosphere;R;;;;;;;
Emissions|N2O|AFOLU;kt N2O/yr;Emi|N2O|+|Agriculture;kt N2O/yr;;Emissions of nitrous oxide (N2O) from agriculture;;;;;;;;
Emissions|N2O|Energy and Industrial Processes;kt N2O/yr;Emi|N2O|+|Energy Supply;kt N2O/yr;;Emissions of nitrous oxide (N2O) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|N2O|Energy and Industrial Processes;kt N2O/yr;Emi|N2O|+|Transport;kt N2O/yr;;Emissions of nitrous oxide (N2O) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|N2O|Energy and Industrial Processes;kt N2O/yr;Emi|N2O|Extra|Transport|Pass|Aviation;kt N2O/yr;;Emissions of nitrous oxide (N2O) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|N2O|Energy and Industrial Processes;kt N2O/yr;Emi|N2O|Extra|Transport|Bunkers|Freight;kt N2O/yr;;Emissions of nitrous oxide (N2O) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|N2O|Energy and Industrial Processes;kt N2O/yr;Emi|N2O|+|Industry;kt N2O/yr;;Emissions of nitrous oxide (N2O) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Emissions|N2O|Energy and Industrial Processes;kt N2O/yr;Emi|N2O|Extra|Buildings;kt N2O/yr;;Emissions of nitrous oxide (N2O) from energy use in supply and demand sectors (IPCC category 1A;; including emissions from international bunker fuels. This is the sum of sources and sinks; and includes negative emisisons in these sectors; for instance from bioenergy with CCS (BECCS);R;;;
Energy Service|Commercial|Rooftop Photovoltaics;million households;;;;Residential and commercial buildings with rooftop photovoltaic electricity generation;;;;;;;;
Energy Service|Commercial|Zero Energy Building;million buildings or households;;;;Residential and commercial buildings which have net-zero or positive energy balance;;;;;;;;
Energy Service|Residential and Commercial|Rooftop Photovoltaics;million households;;;;Residential and commercial buildings with rooftop photovoltaic electricity generation;;;;;;;;
Energy Service|Residential and Commercial|Zero Energy Building;million buildings or households;;;;Residential and commercial buildings which have net-zero or positive energy balance;;;;;;;;
Energy Service|Residential|Cooling Degree Days;°C-days;;;;Measure of how hot the temperature was over a given period indicating higher energy needs for cooling;;;;;;;;
Energy Service|Residential|Heating Degree Days;°C-days;;;;Measure of how cold the temperature was over a given period indicating higher energy needs for heating;;;;;;;;
Energy Service|Residential|Rooftop Photovoltaics;million households;;;;Residential and commercial buildings with rooftop photovoltaic electricity generation;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Cleaning;units/household;;;;Ownership of appliances per household and appliance group;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Cleaning|Clothes dryer;units/household;;;;Ownership of appliances per household and appliance;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Cleaning|Dish washer;units/household;;;;Ownership of appliances per household and appliance;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Cleaning|Washing machine;units/household;;;;Ownership of appliances per household and appliance;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Cooling;units/household;;;;Ownership of appliances per household and appliance group;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Cooling|Air conditioner;units/household;;;;Ownership of appliances per household and appliance;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Cooling|Air cooler;units/household;;;;Ownership of appliances per household and appliance;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Cooling|Fan;units/household;;;;Ownership of appliances per household and appliance;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Entertainment;units/household;;;;Ownership of appliances per household and appliance group;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Other;units/household;;;;Ownership of appliances per household and appliance group;;;;;;;;
Energy Service|Residential|Total|Appliance Ownership|Refrigeration;units/household;;;;Ownership of appliances per household and appliance group;;;;;;;;
Energy Service|Residential|Total|Rooftop Photovoltaics;million households;;;;Households with rooftop photovoltaic electricity generation;;;;;;;;
Energy Service|Residential|Zero Energy Building;million buildings or households;;;;Residential and commercial buildings which have net-zero or positive energy balance;;;;;;;;
Energy Service|Transportation|Passenger|Active Transport [Share];%;;;;Share of walking and cycling in passenger transport;;;;;;;;
Energy Service|Transportation|Passenger|Public Transport [Share];%;;;;Share of public transit in passenger transport;;;;;;;;
Energy Service|Transportation|Passenger|Road;billion pkm/yr;ES|Transport|Pass|Road;billion pkm/yr;;Energy service demand for passenger transport on roads;T;;;;;;;
Energy Service|Transportation|Passenger|Road|Light-Duty Vehicle;billion pkm/yr;ES|Transport|Pass|Road|LDV;billion pkm/yr;;Energy service demand for passenger transport on roads in light duty vehicles;T;;;;;;;
Energy Service|Transportation|Passenger|Road|Light-Duty Vehicle|Battery-Electric;billion pkm/yr;ES|Transport|Pass|Road|LDV|BEV;billion pkm/yr;;Energy service demand for passenger transport on roads in light duty vehicles with battery-electric drive (BEV);T;;;;;;;
Energy Service|Transportation|Passenger|Road|Light-Duty Vehicle|Fuel-Cell-Electric;billion pkm/yr;ES|Transport|Pass|Road|LDV|FCEV;billion pkm/yr;;Energy service demand for passenger transport on roads in light duty vehicles with fuel-cell-electric drive (FCEV);T;;;;;;;
Energy Service|Transportation|Passenger|Road|Light-Duty Vehicle|Internal Combustion;billion pkm/yr;ES|Transport|Pass|Road|LDV|Liquids;billion pkm/yr;;Energy service demand for passenger transport on roads in light duty vehicles with internal combustion engine drive not including plug-in hybrids (ICE);T;;;;;;;
Energy Service|Transportation|Passenger|Road|Light-Duty Vehicle|Internal Combustion;billion pkm/yr;ES|Transport|Pass|Road|LDV|Gases;billion pkm/yr;;Energy service demand for passenger transport on roads in light duty vehicles with internal combustion engine drive not including plug-in hybrids (ICE);T;;;;;;;
Energy Service|Transportation|Passenger|Road|Light-Duty Vehicle|Plug-in Hybrid;billion pkm/yr;ES|Transport|Pass|Road|LDV|Hybrid electric;billion pkm/yr;;Energy service demand for passenger transport on roads in light duty vehicles with plug-in hybrid drive (PHEV);T;;;;;;;
Expenditure|Households;billion USD_2010/yr;;;;Total expenditure by households;;;;;;;;
Expenditure|Households|Food [Share];%;SDG|SDG02|Food expenditure share;income;100;Share of food expenditure in total income (including value added from food processing chain);M;;;;;;;
Fertilizer Use|Nitrogen|Organic;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure;Mt Nr/yr;;Organic nitrogen fertilizer use on cropland (e.g. manure);M;;;;;;;
Fertilizer Use|Nitrogen|Organic;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;Organic nitrogen fertilizer use on cropland (e.g. manure);M;;;;;;;
Fertilizer Use|Nitrogen|Synthetic;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;Synthetic nitrogen fertilizer use on cropland;M;;;;;;;
Fertilizer Use|Phosphorus;Tg P/yr;;;;Phosphorus fertilizer use on cropland (synthetic and organic);;;;;;;;
Fertilizer Use|Phosphorus|Organic;Tg P/yr;;;;Organic phosphorus fertilizer use on cropland (e.g. rock phosphate;;;;;;;;
Fertilizer Use|Phosphorus|Synthetic;Tg P/yr;;;;Synthetic phosphorus fertilizer use on cropland;;;;;;;;
Final Energy;EJ/yr;FE;EJ/yr;;Final energy consumption by all end-use sectors and all fuels;;;;;;;;
Final Energy|Electricity;EJ/yr;FE|+|Electricity;EJ/yr;;Final energy consumption of electricity (including on-site solar PV);;;;;;;;
Final Energy|Industry|Electricity;EJ/yr;FE|Industry|+|Electricity;EJ/yr;;Final energy consumption by the industrial sector excluding non-energy use (e.g.feedstocks) of electricity;R;;;;;;;
Final Energy|Industry|Electricity [Share];%;FE|Industry|Electricity|Share;%;;Share of electricity in final energy demand for industry;R;;;;;;;
Final Energy|Industry|Hydrogen;EJ/yr;FE|Industry|+|Hydrogen;EJ/yr;;Final energy consumption by the industrial sector excluding non-energy use (e.g.feedstocks) of hydrogen;R;;;;;;;
Final Energy|Solids;EJ/yr;FE|+|Solids;EJ/yr;;Final energy fuel consumption of solid energy carriers;;;;;;;;
